CHEMBL591358,CCn1nnc2c(nc(nc12)c3ccc(NC(=O)Nc4ccc(cc4)C(=O)N(C)C)cc3)N5CCOCC5,1.4
CHEMBL1808983,COc1nc(nc(n1)c2ccc(NC(=O)Nc3ccc(cc3)C(=O)N4CCNC(C)(C)C4)cc2)N5CCOCC5,1.4
CHEMBL1808990,O=C(Nc1ccc(cc1)C(=O)NCCN2CCCC2)Nc3ccc(cc3)c4nc(O[C@H]5CCOC5)nc(n4)N6CCOCC6,1.4
CHEMBL1808989,O=C(Nc1ccc(cc1)C(=O)NCCN2CCCCC2)Nc3ccc(cc3)c4nc(O[C@H]5CCOC5)nc(n4)N6CCOCC6,1.4
CHEMBL1257186,COc1cccc(Nc2nc(nc3c2cnn3C)c4cccc5[nH]ncc45)c1,1.4
CHEMBL1257534,Cn1ncc2c(Nc3ccc(cc3)S(=O)(=O)C)nc(nc12)c4cccc5[nH]ncc45,1.4
CHEMBL1234878,Cn1ncc2c(NCCCS(=O)(=O)C)nc(nc12)c3cccc4n[nH]cc34,1.4
CHEMBL2386970,CC(C)n1nc(C)nc1c2cn3CCOc4cc(ccc4c3n2)c5cnn(c5)C6CN(CCO)C6,1.4
CHEMBL2322501,CC(=O)Nc1nc(c2cc3CCOc4cccnc4c3s2)c([nH]1)c5ccccc5Cl,1.4
CHEMBL3649018,COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N(C4CCOCC4)C2=O,1.43
CHEMBL3652257,COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,1.44
CHEMBL2381266,CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)C5CCNC5)s2,1.5
CHEMBL605121,OCCc1ccc(NC(=O)Nc2ccc(cc2)c3nc(nc(n3)N4CCOCC4)N5CCOCC5)cc1,1.5
CHEMBL597825,CNC(=O)c1ccc(NC(=O)Nc2ccc(cc2)c3nc(nc(n3)N4CCOCC4)N5CCOCC5)cc1,1.5
CHEMBL1928722,CCc1ccc(cc1S(=O)(=O)N(C)\N=C\c2cnn3ccc(cc23)C#N)[N+](=O)[O-],1.5
CHEMBL1796275,CN(C(=O)c1cc2CCOc3cc(ccc3c2s1)C(=O)N)c4ccccc4Cl,1.5
CHEMBL3648910,CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4ccc(O)c(OC)c4,1.57
CHEMBL2375963,COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCC(=O)N)C2=O,1.58
CHEMBL3652249,CCNc1nc(C)c2C=C(C(=O)N([C@@H]3CC[C@@H](O)CC3)c2n1)c4cnc(OC)nc4,1.59
CHEMBL3648980,CNc1nc(C)c2C=C(C(=O)N(CC3CCOC3)c2n1)c4cnc5[nH]ccc5c4,1.6
CHEMBL3648950,Cc1nc(N)nc2N([C@@H]3CC[C@H](O)CC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,1.6
CHEMBL3648957,CO[C@@H]1CC[C@H](CC1)N2C(=O)C(=Cc3c(C)nc(N)nc23)c4cnc(OC)c(F)c4,1.6
CHEMBL1086923,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc(O)c5)CC1,1.6
CHEMBL3649010,COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N(C4CCCC4)C2=O,1.7
CHEMBL1808991,CN1CCN(CC1)C(=O)c2ccc(NC(=O)Nc3ccc(cc3)c4nc(O[C@H]5CCOC5)nc(n4)N6CCOCC6)cc2,1.7
CHEMBL1922095,Cc1c(CN2CCN(CC2)C(=O)C(C)(C)O)sc3c(nc(nc13)c4cnc(N)nc4)N5CCOCC5,1.7
CHEMBL1257304,COc1cccc(Nc2nc(nc3c2cnn3C)c4cccc5onc(C)c45)c1,1.7
CHEMBL599668,O=C(Nc1ccc(cc1)c2nc(nc(n2)N3CCOCC3)N4CCOCC4)Nc5cccnc5,1.7
CHEMBL3577924,Cc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3cc4c(ncnc4s3)c5ccncc5,1.7
CHEMBL3648922,CCNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cnc5[nH]ccc5c4,1.77
CHEMBL3652247,CNc1nc(C)c2C=C(C(=O)N([C@@H]3CC[C@@H](O)CC3)c2n1)c4ccc(OC)nc4,1.8
CHEMBL1092402,CCn1ccc2c(nc(nc12)c3ccc(NC(=O)Nc4ccc(cc4)C(=O)NCCN(C)C)cc3)N5CCOCC5,1.8
CHEMBL2058163,NC(=O)c1cn2cc(nc(N3CCOCC3)c2n1)c4cnc(N)nc4,1.8
CHEMBL1928723,CC(C)c1ccc(cc1S(=O)(=O)N(C)\N=C\c2cnn3ccc(cc23)C#N)[N+](=O)[O-],1.8
